l1,l2,l3
228.3634481658692,228.638125,228.83575000000002
224.42593043076639,224.9922222222219,226.2390138888892
224.98164992025497,226.14074999999994,226.4819999999997
224.89556037151692,226.40104166666694,226.51420833333339
225.28673923444995,226.63212500000034,227.25562499999967
225.60339712918687,226.7965000000003,227.7838750000002
225.66488210035587,227.06599999999992,227.08245833333322
225.8721315789472,227.23550000000017,226.27524999999986
226.29500628576807,227.58854166666646,226.5330416666664
226.5832867529785,227.500736111111,226.74748611111085
226.47895068811494,227.1023888888888,226.8139444444444
226.75715390749582,226.83786111111138,227.30606944444452
226.98891669372938,226.72365277777772,227.6350277777775
226.97554558805498,226.70327777777766,228.37215277777807
227.04897282542026,226.05937500000024,228.39784722222234
226.74442719767313,226.06073611111137,227.371986111111
227.15671929824552,226.79091666666633,227.8522916666668
227.14616427432205,226.9152083333335,228.19693055555564
227.54600619195028,226.68833333333347,228.7423472222222
227.54216985645922,226.87599999999983,228.50587499999995
227.65550820541662,227.20622222222212,228.40523611111112
227.7386875843456,227.22141666666698,228.9277638888888
227.4718223530854,226.655972222222,228.69515277777785
227.75704066985656,226.99999999999983,228.79774999999987
228.0982397973547,227.2552916666669,228.8809722222224
228.85484971890884,228.06109722222226,230.31730555555535
229.0903185606963,228.2880694444446,230.61852777777744
228.98139999061848,227.90631944444422,230.26119444444458
229.15494195587675,228.02397222222254,230.32512499999973
229.50708907243435,228.2423333333333,230.56395833333318
229.53318349246246,228.25143055555557,230.79201388888907
229.33556299118845,228.47094444444465,230.73806944444442
228.78660078157122,228.47948611111133,230.54331944444428
228.19886725194317,228.1503055555553,230.43948611111094
227.84450072167277,227.74123611111096,230.06150000000028
227.65637334646792,227.73366666666664,229.66918055555584
227.13527329017705,227.69987499999976,229.21190277777808
226.95468592810693,228.28827777777767,229.1021944444443
227.31375475401802,228.25933333333327,229.55545833333318
227.29197171404428,228.3247777777777,229.60859722222227
226.93329483931979,227.42154166666688,229.01113888888915
226.65118336256128,226.38426388888868,228.44806944444446
226.3236389183571,225.34047222222244,228.269986111111
226.55273083418143,225.37661111111137,228.93929166666686
227.03958342534662,225.0283611111114,228.9481388888891
226.21137901159742,224.50202777777773,227.74491666666702
225.93229989824428,224.61111111111134,227.79562500000017
226.8031783469369,226.8478472222222,230.1353472222221
227.45365820144787,227.97293055555528,230.35283333333322
226.94758606305965,226.70268055555553,229.3832499999997
225.7161487475375,225.5873472222221,228.09318055555568
224.29341528285983,224.25851388888853,227.196236111111
223.86671531100512,222.85824999999994,226.34061111111095
223.66957844941447,222.17704166666678,226.25724999999994
223.60572795831612,221.49730555555587,226.72923611111088
224.0402361384743,223.10643055555573,227.17237499999982
225.75283430037473,225.82995833333328,228.66283333333325
228.0895333051879,228.21650000000022,229.87594444444443
229.4000996810206,228.98212499999966,230.55412500000023
229.50066267942591,230.5198749999997,231.2263750000002
229.5408763955342,231.03349999999995,231.25049999999996
230.0984465709727,232.19937499999978,232.31724999999983
230.67438596491237,232.07912500000018,232.77087499999965
230.9489306220099,233.08712499999993,232.85812500000026
230.82126475279114,232.22837500000026,232.74675000000022
230.82978548644314,232.27750000000017,232.19962499999986
231.0427854864435,231.11524999999992,232.8492499999998
232.28780542264744,231.90500000000023,233.8381250000002
233.5623014354065,235.6531250000003,233.4976250000003
234.69658532695405,237.15200000000007,233.90962499999995
234.92577910685833,237.86900000000009,234.72975000000005
234.8176124401915,238.13712499999968,234.73025000000013
234.78833971291832,237.62050000000042,234.17812499999985
234.36258213716113,236.57112500000025,233.45237499999985
234.54704864433825,236.38637499999965,234.19775000000027
234.75294338118044,236.27462499999967,233.474625
234.67743939393924,236.44899999999976,234.11012500000027
235.4964027113236,236.54612499999973,235.8071250000001
235.8088389154707,236.0428750000002,236.33024999999998
235.97051196172237,235.24424999999977,237.0185000000001
233.74228309409907,233.86399999999972,233.5513750000001
232.02813875598085,232.92737500000024,231.80912500000017
232.8809258373204,234.67749999999978,232.68862499999977
233.1377719298246,233.80612500000032,233.14787499999974
