l1,l2,l3
228.21833333333328,230.61166666666665,230.7666666666667
228.19758333333334,231.34925000000004,230.8585
230.96699999999998,233.49733333333333,233.55900000000003
228.81165349927852,232.17431818181817,231.5758235930736
228.39239499389504,232.00992582417578,231.23320757020755
229.28042857142856,232.52221428571428,232.32466666666667
228.776243624431,231.88701006632246,231.9114470737596
228.155,231.7001666666667,231.29033333333334
227.736,231.56358333333338,230.82541666666665
228.04196428571424,230.8260119047619,231.0104226190476
229.09237301587305,232.0221783910534,232.2494272671772
229.1721071428571,232.54341666666664,232.3935535714286
227.38820833333332,231.4761071428572,231.97827380952384
227.38820833333332,231.4761071428572,231.97827380952384
228.77387265512266,231.751586038961,232.07887157287155
229.4469087986962,232.48328448396293,233.19317884796223
229.25166666666667,233.1,233.37833333333333
229.9306666666667,233.45899999999995,234.06333333333333
230.775,235.115,235.52
230.2925,235.16,235.635
230.41,235.095,235.485
231.52914285714292,234.7662083333333,235.2152916666666
232.6225,235.705,236.15
231.99500000000003,235.1000952380952,235.73842857142853
230.7121527916528,233.9006553446553,234.12325611888116
231.3481214896215,233.71889360639364,234.41328260628256
229.4825,233.57,234.19
228.24864285714284,232.73232142857145,232.69985714285716
230.22291468253974,233.58096230158728,233.85617063492063
231.3481214896215,233.71889360639364,234.41328260628256
230.09842485410616,232.88530527073115,233.3764584635136
230.57683730158737,233.41285317460316,233.91268650793648
229.9306666666667,233.45899999999995,234.06333333333333
229.9789292929293,233.34469931457434,233.8669511183261
229.42633928571428,232.8796904761905,233.09516071428573
229.32926821789317,232.4785063131314,232.25630898268398
230.0856666666666,233.6085,234.19133333333338
230.61166666666668,234.46291666666667,234.78875000000005
229.8056471612323,232.48947725180747,233.07738610175093
229.6951666666667,232.64783333333332,233.22533333333328
228.88583333333332,232.82083333333333,233.5908333333333
227.03,231.92,232.12
226.4595476190476,231.23535119047622,231.90781547619045
229.32926821789317,232.4785063131314,232.25630898268398
229.7200714285714,232.96574999999993,232.22566666666668
228.8842142857143,231.7503511904762,231.62697023809523
227.81762500000002,230.01516666666666,230.03270833333335
226.955,229.255,229.16
226.268,230.18900000000002,229.709
226.68841666666668,230.1115,230.04608333333334
228.83076190476194,231.07384902597397,232.13361093073593
229.20658333333333,232.29624999999996,232.39658333333335
228.6456785714286,232.15092857142855,231.63995833333334
229.3660847763348,232.62831259018765,231.6771626984128
229.58599999999998,233.032,232.4905
230.145,233.62,232.1325
227.47299999999998,231.3840000000001,230.25091666666663
227.72982142857143,230.32482142857143,230.1330357142857
228.776243624431,231.88701006632246,231.9114470737596
228.776243624431,231.88701006632246,231.9114470737596
227.67033333333333,231.4423333333333,231.6273333333333
228.776243624431,231.88701006632246,231.9114470737596
229.3660847763348,232.62831259018765,231.6771626984128
229.02843122155627,232.1142815656566,232.1179590548341
229.47705555555555,232.01269444444446,232.07858333333334
229.5824146825397,232.63547817460315,233.1603908730159
230.7121527916528,233.9006553446553,234.12325611888116
230.42195833333332,233.2909464285714,234.185619047619
229.8056471612323,232.48947725180747,233.07738610175093
229.09237301587305,232.0221783910534,232.2494272671772
229.8056471612323,232.48947725180747,233.07738610175093
229.4514424603175,231.86407936507942,232.61703174603176
228.776243624431,231.88701006632246,231.9114470737596
229.4074715007214,232.11988816738835,232.28087067099565
228.33950198412703,231.86492658730157,232.51343253968258
231.09725457875456,233.7888811050061,234.1101087107337
231.31674999999998,234.265,234.7400833333333
230.48879960317464,233.40107323232328,234.11379653679657
229.00290671175225,232.11743172024046,232.34699140891783
229.5824146825397,232.63547817460315,233.1603908730159
228.93000000000004,232.3075,232.54125
230.37164285714283,234.00217857142854,232.00285714285712
231.22833333333335,234.32583333333335,233.35916666666665
230.8958333333334,234.02458333333337,233.59124999999997
230.01183388833388,232.95767816905314,233.02005683205684
230.01183388833388,232.95767816905314,233.02005683205684
230.48879960317464,233.40107323232328,234.11379653679657
229.09237301587305,232.0221783910534,232.2494272671772
228.93000000000004,232.3075,232.54125
229.3660847763348,232.62831259018765,231.6771626984128
229.1721071428571,232.54341666666664,232.3935535714286
229.35968650793646,233.00091865079364,233.16129761904756
230.09842485410616,232.88530527073115,233.3764584635136
229.90682738095234,232.45360714285718,232.75147619047624
230.29750595238096,233.45484523809517,233.2786964285715
229.00290671175225,232.11743172024046,232.34699140891783
228.8842142857143,231.7503511904762,231.62697023809523
228.04196428571424,230.8260119047619,231.0104226190476
228.8419761904762,231.96422619047618,232.47070634920635
230.38286850649348,234.0128787878788,233.9013035714285
229.32926821789317,232.4785063131314,232.25630898268398
228.27108333333334,231.56100000000004,231.61433333333338
227.775,231.519,231.75400000000002
229.7200714285714,232.96574999999993,232.22566666666668
229.00290671175225,232.11743172024046,232.34699140891783
229.72532142857142,232.72586904761903,232.60783333333333
228.94,231.93166666666664,232.08916666666664
228.09844047619043,231.73541666666668,233.09882142857143
228.39458333333334,232.14875,232.9283333333333
228.90249999999997,233.10050000000004,233.675
229.94091666666668,234.1095,234.50708333333333
230.0856666666666,233.6085,234.19133333333338
231.2520119047619,235.03434523809523,235.38595238095238
231.7175,235.71,235.865
232.67,236.905,237.75
233.215,238.565,239.545
232.73,237.58,238.58
231.38583333333332,235.57,236.6616666666667
230.04541666666665,233.30000000000007,234.47291666666663
228.46375,232.40291666666667,233.58791666666667
228.33950198412703,231.86492658730157,232.51343253968258
230.485,234.11,234.195
234.435,237.995,238.3
236.495,240.38,240.78
236.925,240.69,241.355
234.54142857142855,239.27142857142854,239.68428571428572
231.05916666666667,235.18875,235.0585
228.9036569264069,232.7633138528139,231.95617965367964
229.44943055555552,232.25623304473302,232.47011670274173
229.2029285714286,232.63109706959705,232.93096703296706
229.54546031746034,232.92123412698416,233.37434523809523
229.08,232.34,233.53
229.00290671175225,232.11743172024046,232.34699140891783
230.21875,233.00083333333333,233.31625000000003
228.04196428571424,230.8260119047619,231.0104226190476
228.04016666666664,230.9775,231.72125000000003
228.82614203851696,231.65481931956924,231.7042903346654
229.5949891774891,232.92524603174604,232.62472222222223
